week_number,day_of_week_name,pickup_neighborhood,demand,est_real_demand,predicted_demand
2,Wednesday,Lenox Hill-Roosevelt Island,14.0,24586.940000000002,23227.61886986887
2,Wednesday,Lincoln Square,11.0,19318.31,22171.82628493129
2,Wednesday,Lower East Side,2.0,3512.42,4226.186781087281
2,Wednesday,Melrose South-Mott Haven North,1.0,1756.21,1961.3247159283928
2,Wednesday,Midtown-Midtown South,21.183333333333334,37202.38183333333,43046.30565667643
2,Wednesday,Morningside Heights,3.0,5268.63,7319.916273046413
2,Wednesday,Murray Hill-Kips Bay,13.0,22830.73,25221.07739492933
2,Wednesday,North Side-South Side,2.0,3512.42,4155.157073270803
2,Wednesday,Park Slope-Gowanus,1.0,1756.21,1915.335697990008
2,Wednesday,Queensbridge-Ravenswood-Long Island City,2.0,3512.42,3265.968615296859
2,Wednesday,SoHo-TriBeCa-Civic Center-Little Italy,23.166666666666668,40685.53166666667,25782.658799520163
2,Wednesday,Sunset Park West,1.0,1756.21,1884.8089833891013
2,Wednesday,Turtle Bay-East Midtown,17.583333333333332,30880.025833333333,30356.975395311634
2,Wednesday,Upper East Side-Carnegie Hill,14.15,24850.3715,28352.79751892263
2,Wednesday,Upper West Side,16.666666666666668,29270.166666666668,25508.721001324797
2,Wednesday,Washington Heights North,1.0,1756.21,1897.187102433865
2,Wednesday,Washington Heights South,1.0,1756.21,1891.885285728352
2,Wednesday,West Village,17.0,29855.57,28499.748528557506
2,Wednesday,Yorkville,9.5,16683.995,20721.40272423744
2,Wednesday,park-cemetery-etc-Manhattan,7.0,12293.470000000001,10991.029609735217
20,Friday,Airport,11.0,19318.31,23350.63448088941
20,Friday,Astoria,1.0,1756.21,3320.3125243691834
20,Friday,Battery Park City-Lower Manhattan,13.5,23708.835,20474.953716225016
20,Friday,Borough Park,1.0,1756.21,2176.222646612063
20,Friday,Central Harlem South,2.0,3512.42,3929.607946574255
20,Friday,Chinatown,9.333333333333334,16391.293333333335,14140.504382155685
20,Friday,Clinton,17.833333333333332,31319.07833333333,27963.74066717245
20,Friday,Clinton Hill,1.0,1756.21,2179.674200457139
20,Friday,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3.0,5268.63,4627.443228869267
20,Friday,East Harlem North,4.0,7024.84,4394.877512052231
20,Friday,East Harlem South,5.0,8781.05,7697.632972645106
20,Friday,East Village,16.666666666666668,29270.166666666668,24236.24622941174
20,Friday,Gramercy,13.5,23708.835,21971.32704994348
20,Friday,Greenpoint,1.0,1756.21,2734.0432169318665
20,Friday,Hamilton Heights,1.0,1756.21,2627.854586379397
20,Friday,Hudson Yards-Chelsea-Flatiron-Union Square,26.25,46100.512500000004,37605.22753689314
20,Friday,Lenox Hill-Roosevelt Island,13.666666666666668,24001.53666666667,25493.959016569792
20,Friday,Lincoln Square,8.5,14927.785,24494.46432811128
20,Friday,Lower East Side,2.0,3512.42,5288.870647734833
20,Friday,Midtown-Midtown South,24.919047619047618,43763.080619047614,46236.342996108746
20,Friday,Morningside Heights,8.0,14049.68,10501.420049841408
20,Friday,Murray Hill-Kips Bay,14.333333333333334,25172.343333333334,27160.947285444407
20,Friday,North Side-South Side,3.0,5268.63,5043.554588625312
20,Friday,Queensbridge-Ravenswood-Long Island City,1.0,1756.21,2950.524485441488
20,Friday,SoHo-TriBeCa-Civic Center-Little Italy,17.5,30733.675,29280.06046432286
20,Friday,Stuyvesant Town-Cooper Village,3.0,5268.63,5149.991663864991
20,Friday,Turtle Bay-East Midtown,16.5,28977.465,31260.807342756336
20,Friday,Upper East Side-Carnegie Hill,18.03333333333333,31670.32033333333,31668.44837983122
20,Friday,Upper West Side,15.333333333333334,26928.553333333333,28887.667756129045
20,Friday,West Village,19.083333333333332,33514.340833333335,32758.67331168556
20,Friday,Yorkville,17.5,30733.675,23113.03865433878
20,Friday,park-cemetery-etc-Manhattan,5.0,8781.05,12193.007741281504
20,Friday,park-cemetery-etc-Queens,1.0,1756.21,2252.749848116989
20,Monday,Airport,18.5,32489.885000000002,25177.38598812883
20,Monday,Astoria,1.0,1756.21,2608.670688992432
20,Monday,Battery Park City-Lower Manhattan,8.0,14049.68,18003.38800323009
20,Monday,Brooklyn Heights-Cobble Hill,2.0,3512.42,2868.8248255213366
20,Monday,Bushwick North,1.0,1756.21,1839.614770372618
20,Monday,Central Harlem South,3.0,5268.63,3330.8680891187028
20,Monday,Chinatown,5.0,8781.05,9487.119773261618
20,Monday,Clinton,16.0,28099.36,24728.24163554517
20,Monday,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2.0,3512.42,3539.125654993557
20,Monday,East Harlem North,1.0,1756.21,3433.253286207652
20,Monday,East Harlem South,4.0,7024.84,6743.752002227541
20,Monday,East New York,1.0,1756.21,1866.222870764602
20,Monday,East Village,11.0,19318.31,19051.6725400387
20,Monday,East Williamsburg,1.0,1756.21,2192.418703286573
20,Monday,Gramercy,11.0,19318.31,18753.147345419125
20,Monday,Hamilton Heights,1.0,1756.21,1900.4583703792944
20,Monday,Hudson Yards-Chelsea-Flatiron-Union Square,16.083333333333332,28245.71083333333,33024.55539619321
20,Monday,Hunters Point-Sunnyside-West Maspeth,2.0,3512.42,3142.0464641291574
20,Monday,Lenox Hill-Roosevelt Island,13.833333333333334,24294.238333333335,22610.864762510653
20,Monday,Lincoln Square,14.0,24586.940000000002,21861.57962577284
20,Monday,Lower East Side,2.0,3512.42,4139.398229706403
20,Monday,Midtown-Midtown South,27.15,47681.1015,45042.21911377645
20,Monday,Midwood,1.0,1756.21,1919.3049862322143
20,Monday,Morningside Heights,10.0,17562.1,8666.356737394466
20,Monday,Murray Hill-Kips Bay,11.0,19318.31,22695.5428880273
20,Monday,North Side-South Side,3.0,5268.63,3876.316922260558
20,Monday,Park Slope-Gowanus,1.0,1756.21,2233.6673228258546
20,Monday,Queensbridge-Ravenswood-Long Island City,1.0,1756.21,2212.855194627484
20,Monday,SoHo-TriBeCa-Civic Center-Little Italy,15.0,26343.15,25799.530262317483
20,Monday,Stuyvesant Town-Cooper Village,4.0,7024.84,4114.141879197638
20,Monday,Turtle Bay-East Midtown,16.25,28538.412500000002,29196.133035424973
20,Monday,Upper East Side-Carnegie Hill,12.083333333333334,21220.870833333334,29050.41470963141
20,Monday,Upper West Side,13.7,24060.076999999997,25474.1255012857
20,Monday,West Village,15.333333333333334,26928.553333333333,28864.35800571808
20,Monday,Woodside,2.0,3512.42,2008.427473262234
20,Monday,Yorkville,7.5,13171.575,18356.17244778133
20,Monday,park-cemetery-etc-Manhattan,5.0,8781.05,9869.273540376356
20,Saturday,Airport,13.5,23708.835,21541.51121334158
20,Saturday,Annadale-Huguenot-Prince's Bay-Eltingville,1.0,1756.21,2057.1123027770705
20,Saturday,Astoria,1.0,1756.21,3362.202080453857
20,Saturday,Battery Park City-Lower Manhattan,10.0,17562.1,19964.49157383482
20,Saturday,Brooklyn Heights-Cobble Hill,2.0,3512.42,3586.5728322550094
20,Saturday,Carroll Gardens-Columbia Street-Red Hook,2.0,3512.42,3319.136912695532
20,Saturday,Central Harlem North-Polo Grounds,1.0,1756.21,2358.466341444366
20,Saturday,Central Harlem South,4.0,7024.84,4582.175676614046
20,Saturday,Chinatown,5.0,8781.05,16544.51239959509
20,Saturday,Clinton,18.5,32489.885000000002,28553.158135228216
20,Saturday,Clinton Hill,1.0,1756.21,2540.1076943012263
20,Saturday,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3.0,5268.63,4746.091854612364
20,Saturday,East Harlem South,3.0,5268.63,6909.519787395464
20,Saturday,East Village,9.5,16683.995,25714.959377835377
20,Saturday,Elmhurst,1.0,1756.21,2149.261042928137
20,Saturday,Gramercy,14.5,25465.045000000002,22425.88232992668
20,Saturday,Hudson Yards-Chelsea-Flatiron-Union Square,17.816666666666666,31289.808166666666,36393.49225802717
20,Saturday,Hunters Point-Sunnyside-West Maspeth,3.0,5268.63,4486.736388070153
20,Saturday,Lenox Hill-Roosevelt Island,9.5,16683.995,24321.69686731602
20,Saturday,Lincoln Square,13.0,22830.73,23955.255825246964
20,Saturday,Lower East Side,7.0,12293.470000000001,7410.050628343712
20,Saturday,Manhattanville,1.0,1756.21,2366.5453319078238
20,Saturday,Midtown-Midtown South,24.433333333333334,42910.064333333336,44735.739517627466
20,Saturday,Morningside Heights,5.0,8781.05,9786.503588062413
20,Saturday,Murray Hill-Kips Bay,14.0,24586.940000000002,26751.51519113143
20,Saturday,North Side-South Side,4.0,7024.84,6728.436503376179
20,Saturday,Park Slope-Gowanus,1.0,1756.21,3349.8819713921857
20,Saturday,Queensbridge-Ravenswood-Long Island City,3.0,5268.63,2863.1629302796487
20,Saturday,SoHo-TriBeCa-Civic Center-Little Italy,15.733333333333333,27631.037333333334,28798.129988769942
20,Saturday,St. Albans,1.0,1756.21,2071.237701492841
20,Saturday,Stuyvesant Town-Cooper Village,2.0,3512.42,5606.2076652924525
20,Saturday,Turtle Bay-East Midtown,17.9,31436.159,30252.11718989656
20,Saturday,Upper East Side-Carnegie Hill,22.28333333333333,39134.21283333333,30376.13824041366
20,Saturday,Upper West Side,21.166666666666668,37173.11166666667,29570.20744555857
20,Saturday,West Village,20.6,36177.92600000001,32237.31443387784
20,Saturday,Williamsburg,1.0,1756.21,2173.0700624733668
20,Saturday,Yorkville,14.0,24586.940000000002,22660.77672036999
20,Saturday,park-cemetery-etc-Manhattan,10.0,17562.1,12261.53079102639
20,Sunday,Airport,9.5,16683.995,23273.24045075832
20,Sunday,Astoria,5.0,8781.05,3265.616734782196
20,Sunday,Battery Park City-Lower Manhattan,16.0,28099.36,18115.276435241987
20,Sunday,Briarwood-Jamaica Hills,1.0,1756.21,1938.6467904459296
20,Sunday,Brooklyn Heights-Cobble Hill,2.0,3512.42,3281.3403971237262
20,Sunday,Bushwick South,1.0,1756.21,2040.302545735609
20,Sunday,Carroll Gardens-Columbia Street-Red Hook,1.0,1756.21,3031.555129121402
20,Sunday,Central Harlem South,2.0,3512.42,3746.147536960371
20,Sunday,Chinatown,5.0,8781.05,14415.108529239991
20,Sunday,Clinton,13.0,22830.73,26677.41833207247
20,Sunday,East Harlem North,1.0,1756.21,3755.827959060264
20,Sunday,East Harlem South,2.0,3512.42,6500.222856636215
20,Sunday,East Village,15.833333333333334,27806.658333333336,24657.218696612545
20,Sunday,Forest Hills,1.0,1756.21,1946.3302463714929
20,Sunday,Fort Greene,2.0,3512.42,2525.8358348172837
20,Sunday,Gramercy,13.0,22830.73,20262.369554449506
20,Sunday,Greenpoint,2.0,3512.42,2705.931486675172
20,Sunday,Hamilton Heights,1.0,1756.21,1981.292321790196
20,Sunday,Hudson Yards-Chelsea-Flatiron-Union Square,25.666666666666668,45076.05666666667,34367.616564387536
20,Sunday,Hunters Point-Sunnyside-West Maspeth,1.0,1756.21,3517.684501340333
20,Sunday,Jackson Heights,1.0,1756.21,2134.027387158633
20,Sunday,Lenox Hill-Roosevelt Island,14.0,24586.940000000002,22810.237686867604
20,Sunday,Lincoln Square,11.0,19318.31,21896.472274936823
20,Sunday,Lower East Side,1.0,1756.21,5888.590452355678
20,Sunday,Manhattanville,1.0,1756.21,2093.696854380164
20,Sunday,Melrose South-Mott Haven North,1.0,1756.21,1954.0135420164156
20,Sunday,Midtown-Midtown South,24.65,43290.576499999996,43117.30020400712
20,Sunday,Morningside Heights,3.0,5268.63,8866.187675106214
20,Sunday,Murray Hill-Kips Bay,15.5,27221.255,24750.39215505097
20,Sunday,North Side-South Side,1.0,1756.21,6179.504505387908
20,Sunday,Old Astoria,4.0,7024.84,3099.5151482213123
20,Sunday,Park Slope-Gowanus,1.0,1756.21,2826.0298372206566
20,Sunday,Prospect Heights,1.0,1756.21,2147.5195478673154
20,Sunday,Prospect Lefferts Gardens-Wingate,1.0,1756.21,1859.007818300179
20,Sunday,SoHo-TriBeCa-Civic Center-Little Italy,16.5,28977.465,28010.48167127836
20,Sunday,Steinway,1.0,1756.21,2362.151375619599
20,Sunday,Stuyvesant Town-Cooper Village,2.0,3512.42,4957.529010353329
20,Sunday,Turtle Bay-East Midtown,15.166666666666666,26635.851666666666,28168.430301954984
20,Sunday,Upper East Side-Carnegie Hill,16.25,28538.412500000002,27588.41133796418
20,Sunday,Upper West Side,18.5,32489.885000000002,27687.41991289876
20,Sunday,Washington Heights South,1.0,1756.21,2127.8698487040174
20,Sunday,West Village,18.0,31611.78,30997.272574480558
20,Sunday,Woodside,2.0,3512.42,2278.28015376457
20,Sunday,Yorkville,10.5,18440.205,20025.380233185435
20,Sunday,park-cemetery-etc-Manhattan,3.5,6146.735000000001,10557.67631833946
20,Thursday,Airport,16.833333333333332,29562.868333333332,24417.441367457974
20,Thursday,Astoria,1.0,1756.21,2954.554579031021
20,Thursday,Battery Park City-Lower Manhattan,9.5,16683.995,20229.964869884072
20,Thursday,Bedford,1.0,1756.21,2152.421300513934
20,Thursday,Brooklyn Heights-Cobble Hill,1.0,1756.21,3187.460158534538
20,Thursday,Central Harlem South,3.0,5268.63,3638.205597427249
20,Thursday,Chinatown,9.0,15805.89,13008.187281934568
20,Thursday,Clinton,18.333333333333332,32197.18333333333,27154.072515390577
20,Thursday,Crotona Park East,1.0,1756.21,2026.367328263815
20,Thursday,Crown Heights North,1.0,1756.21,2165.6776408332585
20,Thursday,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2.0,3512.42,4026.013019032471
20,Thursday,East Elmhurst,1.0,1756.21,2137.79723395728
20,Thursday,East Harlem North,2.0,3512.42,4080.530999652904
20,Thursday,East Harlem South,6.0,10537.26,7647.575467659876
20,Thursday,East Village,14.0,24586.940000000002,22656.159985979324
20,Thursday,Gramercy,14.5,25465.045000000002,21078.58452517736
20,Thursday,Hudson Yards-Chelsea-Flatiron-Union Square,16.333333333333332,28684.763333333332,37032.78975068887
20,Thursday,Hunters Point-Sunnyside-West Maspeth,1.0,1756.21,3509.220169856109
20,Thursday,Jackson Heights,2.0,3512.42,2587.285501039076
20,Thursday,Jamaica,1.0,1756.21,2094.2339084767736
20,Thursday,Lenox Hill-Roosevelt Island,14.5,25465.045000000002,24479.9903755154
20,Thursday,Lincoln Square,14.25,25025.9925,24446.1281357517
20,Thursday,Lower East Side,2.0,3512.42,4997.652835748678
20,Thursday,Midtown-Midtown South,27.683333333333334,48617.74683333334,47048.74461966368
20,Thursday,Morningside Heights,8.0,14049.68,9922.411153811086
20,Thursday,Murray Hill-Kips Bay,12.5,21952.625,27705.603344397397
20,Thursday,North Side-South Side,3.0,5268.63,4898.39412678954
20,Thursday,Park Slope-Gowanus,1.0,1756.21,2661.2504323226854
20,Thursday,SoHo-TriBeCa-Civic Center-Little Italy,17.666666666666668,31026.37666666667,29270.03381500345
20,Thursday,Steinway,2.0,3512.42,2666.716357836112
20,Thursday,Stuyvesant Town-Cooper Village,5.0,8781.05,4921.069054080207
20,Thursday,Turtle Bay-East Midtown,18.833333333333332,33075.28833333333,31946.237953283213
20,Thursday,Upper East Side-Carnegie Hill,22.75,39953.777500000004,32626.58312579275
20,Thursday,Upper West Side,15.166666666666666,26635.851666666666,29050.343665519493
20,Thursday,West Village,11.5,20196.415,32077.920655082155
20,Thursday,Woodside,1.0,1756.21,2447.474592763602
20,Thursday,Yorkville,12.0,21074.52,21933.124718123272
20,Thursday,park-cemetery-etc-Manhattan,9.0,15805.89,11975.609170240692
20,Thursday,park-cemetery-etc-Queens,1.0,1756.21,2295.9481677733643
20,Tuesday,Airport,15.0,26343.15,24578.36859660443
20,Tuesday,Astoria,2.0,3512.42,2518.2492066475907
20,Tuesday,Battery Park City-Lower Manhattan,8.0,14049.68,18753.94917340989
20,Tuesday,Bedford,1.0,1756.21,1696.728992536409
20,Tuesday,Brooklyn Heights-Cobble Hill,2.0,3512.42,2911.3126813929243
20,Tuesday,Chinatown,4.0,7024.84,10089.994080466831
20,Tuesday,Clinton,18.0,31611.78,26471.91239409139
20,Tuesday,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2.0,3512.42,3436.808970335983
20,Tuesday,East Harlem South,7.0,12293.470000000001,6608.737454202131
20,Tuesday,East Village,12.0,21074.52,20506.361971501112
20,Tuesday,Flushing,1.0,1756.21,1884.6502316009896
20,Tuesday,Gramercy,7.5,13171.575,18941.833061060453
20,Tuesday,Greenpoint,1.0,1756.21,2000.8479814895843
20,Tuesday,Homecrest,1.0,1756.21,1908.2298975184765
20,Tuesday,Hudson Yards-Chelsea-Flatiron-Union Square,19.1,33543.611000000004,34826.37318589314
20,Tuesday,Hunters Point-Sunnyside-West Maspeth,1.0,1756.21,2830.702654290314
20,Tuesday,Jackson Heights,1.0,1756.21,2128.7106989166714
20,Tuesday,Lenox Hill-Roosevelt Island,18.5,32489.885000000002,24044.782348184526
20,Tuesday,Lincoln Square,12.25,21513.572500000002,23022.576332212542
20,Tuesday,Lower East Side,3.0,5268.63,4343.768617493896
20,Tuesday,Manhattanville,1.0,1756.21,1970.869263261185
20,Tuesday,Midtown-Midtown South,28.416666666666668,49905.63416666667,46400.21662143481
20,Tuesday,Morningside Heights,4.0,7024.84,9205.919749728471
20,Tuesday,Murray Hill-Kips Bay,15.5,27221.255,25621.39937850415
20,Tuesday,Queensbridge-Ravenswood-Long Island City,1.0,1756.21,2249.000252633089
20,Tuesday,Rego Park,1.0,1756.21,1862.158874335047
20,Tuesday,SoHo-TriBeCa-Civic Center-Little Italy,19.5,34246.095,28146.623682510537
20,Tuesday,Stuyvesant Town-Cooper Village,2.0,3512.42,3817.928508328741
20,Tuesday,Sunset Park West,1.0,1756.21,1851.064522665928
20,Tuesday,Turtle Bay-East Midtown,15.333333333333334,26928.553333333333,30826.07277190992
20,Tuesday,Upper East Side-Carnegie Hill,17.666666666666668,31026.37666666667,31603.0659270967
20,Tuesday,Upper West Side,17.0,29855.57,27441.108381023598
20,Tuesday,West Village,14.333333333333334,25172.343333333334,29112.270497264795
20,Tuesday,Westchester-Unionport,1.0,1756.21,1856.9612563944431
20,Tuesday,Woodside,1.0,1756.21,2070.654396652348
20,Tuesday,Yorkville,12.333333333333334,21659.923333333336,19274.411204309195
20,Tuesday,park-cemetery-etc-Manhattan,4.0,7024.84,12033.127271751231
20,Wednesday,Airport,10.5,18440.205,23941.007562702354
20,Wednesday,Astoria,1.0,1756.21,2459.339817336895
20,Wednesday,Baisley Park,1.0,1756.21,1761.3267515473208
20,Wednesday,Battery Park City-Lower Manhattan,9.5,16683.995,19566.874767735382
20,Wednesday,Brooklyn Heights-Cobble Hill,2.0,3512.42,2942.8770044107405
20,Wednesday,Bushwick South,1.0,1756.21,2004.7147940744728
20,Wednesday,Carroll Gardens-Columbia Street-Red Hook,1.0,1756.21,2694.7095637160114
20,Wednesday,Chinatown,5.0,8781.05,12118.054223555631
20,Wednesday,Clinton,13.5,23708.835,26643.60782082372
20,Wednesday,Clinton Hill,1.0,1756.21,1776.6622257820595
20,Wednesday,East Elmhurst,1.0,1756.21,1764.1637934763037
20,Wednesday,East Harlem North,3.0,5268.63,3737.495825376724
20,Wednesday,East Harlem South,6.0,10537.26,7085.805062909439
20,Wednesday,East Village,13.0,22830.73,20869.52615631329
20,Wednesday,East Williamsburg,2.0,3512.42,2332.3843662584472
20,Wednesday,Forest Hills,1.0,1756.21,2012.6708217843116
20,Wednesday,Fort Greene,1.0,1756.21,2561.764396428542
20,Wednesday,Gramercy,8.666666666666666,15220.486666666666,19587.43117459152
20,Wednesday,Greenpoint,1.0,1756.21,1993.1355078434028
20,Wednesday,Hamilton Heights,1.0,1756.21,1987.5560530134971
20,Wednesday,Hudson Yards-Chelsea-Flatiron-Union Square,17.333333333333332,30440.97333333333,35008.0275534461
20,Wednesday,Hunters Point-Sunnyside-West Maspeth,2.0,3512.42,3134.59463382149
20,Wednesday,Kew Gardens Hills,1.0,1756.21,1863.2744825041732
20,Wednesday,Lenox Hill-Roosevelt Island,8.333333333333334,14635.083333333334,23678.232656153526
20,Wednesday,Lincoln Square,13.666666666666666,24001.536666666667,23181.90310223924
20,Wednesday,Lower East Side,1.0,1756.21,4048.0230804557546
20,Wednesday,Midtown-Midtown South,28.0,49173.880000000005,46298.24561443719
20,Wednesday,Morningside Heights,7.0,12293.470000000001,9295.780758843535
20,Wednesday,Murray Hill-Kips Bay,16.5,28977.465,25598.570935923875
20,Wednesday,North Side-South Side,1.0,1756.21,4073.8061713334014
20,Wednesday,Park Slope-Gowanus,1.0,1756.21,2164.489420148898
20,Wednesday,Queensbridge-Ravenswood-Long Island City,1.0,1756.21,2380.198226905045
20,Wednesday,SoHo-TriBeCa-Civic Center-Little Italy,15.0,26343.15,27712.79361121527
20,Wednesday,Stuyvesant Heights,1.0,1756.21,1845.7119976020656
20,Wednesday,Stuyvesant Town-Cooper Village,1.0,1756.21,3985.831775395433
20,Wednesday,Turtle Bay-East Midtown,20.666666666666668,36295.00666666667,31167.619968275238
20,Wednesday,Upper East Side-Carnegie Hill,19.65,34509.5265,31200.305036482205
20,Wednesday,Upper West Side,18.0,31611.78,28414.5807130559
20,Wednesday,Washington Heights South,1.0,1756.21,1781.4479957316362
20,Wednesday,West Village,14.0,24586.940000000002,30076.36316498953
20,Wednesday,Woodside,1.0,1756.21,2066.669821954572
20,Wednesday,Yorkville,12.0,21074.52,20502.64285483672
20,Wednesday,park-cemetery-etc-Manhattan,5.0,8781.05,11748.329036984733
20,Wednesday,park-cemetery-etc-Queens,1.0,1756.21,1965.027866054212
21,Friday,Airport,13.5,23708.835,23664.601338881348
21,Friday,Astoria,2.0,3512.42,3076.673288197711
21,Friday,Battery Park City-Lower Manhattan,16.333333333333332,28684.763333333332,20630.70226596101
21,Friday,Bushwick North,1.0,1756.21,2176.7668697096515
21,Friday,Bushwick South,1.0,1756.21,2352.3363612372527
21,Friday,Carroll Gardens-Columbia Street-Red Hook,1.0,1756.21,3136.916577262038
21,Friday,Central Harlem South,2.0,3512.42,3650.933688756149
21,Friday,Chinatown,6.0,10537.26,14748.527160630176
21,Friday,Claremont-Bathgate,1.0,1756.21,2099.2948434332284
21,Friday,Clinton,10.0,17562.1,27007.347373841287
21,Friday,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1.0,1756.21,4320.953067934752
21,Friday,East Harlem North,3.0,5268.63,4199.931402306915
21,Friday,East Harlem South,5.5,9659.155,7282.507263500386
21,Friday,East Village,17.6,30909.296000000002,23988.30404369942
21,Friday,East Williamsburg,1.0,1756.21,2374.8511859301047
21,Friday,Forest Hills,1.0,1756.21,2192.543436226426
21,Friday,Gramercy,14.0,24586.940000000002,21606.277903676528
21,Friday,Hamilton Heights,2.0,3512.42,2633.74846665273
21,Friday,Hudson Yards-Chelsea-Flatiron-Union Square,27.28333333333333,47915.262833333334,37326.36184982003
21,Friday,Hunters Point-Sunnyside-West Maspeth,2.0,3512.42,3860.734952995778
21,Friday,Lenox Hill-Roosevelt Island,10.0,17562.1,25077.55247988277
21,Friday,Lincoln Square,12.333333333333332,21659.923333333332,24697.428620770774
21,Friday,Lower East Side,5.0,8781.05,5320.982558731278
21,Friday,Manhattanville,1.0,1756.21,2329.8207897050984
21,Friday,Midtown-Midtown South,25.483333333333334,44754.084833333334,45023.45493828
21,Friday,Morningside Heights,6.0,10537.26,10157.627339093866
21,Friday,Murray Hill-Kips Bay,16.333333333333332,28684.763333333332,26394.97744820709
21,Friday,North Side-South Side,4.0,7024.84,5070.552594674022
21,Friday,Old Astoria,1.0,1756.21,2735.22951912782
21,Friday,Park Slope-Gowanus,3.0,5268.63,3091.091280556753
21,Friday,SoHo-TriBeCa-Civic Center-Little Italy,14.5,25465.045000000002,28397.13656308795
21,Friday,Stuyvesant Town-Cooper Village,3.0,5268.63,4971.240891800857
21,Friday,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,1.0,1756.21,2125.926866500635
21,Friday,Turtle Bay-East Midtown,16.25,28538.412500000002,30065.936345021208
21,Friday,Upper East Side-Carnegie Hill,17.583333333333332,30880.025833333333,30181.98405755274
21,Friday,Upper West Side,17.333333333333332,30440.97333333333,27518.25254725796
21,Friday,Washington Heights South,1.0,1756.21,2269.3309027501687
21,Friday,West Village,16.833333333333332,29562.868333333332,32356.977433234613
21,Friday,Westchester-Unionport,1.0,1756.21,2167.3932370687
21,Friday,Yorkville,14.0,24586.940000000002,22838.73858031137
21,Friday,park-cemetery-etc-Manhattan,8.0,14049.68,12714.759549538938
21,Friday,park-cemetery-etc-Queens,1.0,1756.21,2130.8236395370477
21,Monday,Airport,17.0,29855.57,25343.632376219848
21,Monday,Astoria,1.0,1756.21,2495.677539532012
21,Monday,Battery Park City-Lower Manhattan,11.5,20196.415,18334.484407303677
21,Monday,Brooklyn Heights-Cobble Hill,1.0,1756.21,2731.6869365148696
21,Monday,Brownsville,1.0,1756.21,1975.1905681646529
21,Monday,Carroll Gardens-Columbia Street-Red Hook,2.0,3512.42,2678.5254082881493
21,Monday,Central Harlem North-Polo Grounds,1.0,1756.21,2100.8739079821503
21,Monday,Central Harlem South,1.0,1756.21,3185.046932212023
21,Monday,Chinatown,7.0,12293.470000000001,10305.685464298846
21,Monday,Clinton,17.53333333333333,30792.21533333333,23941.641881188112
21,Monday,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3.0,5268.63,3411.5064494331177
21,Monday,East Harlem North,2.0,3512.42,3419.5205600280933
21,Monday,East Harlem South,7.5,13171.575,6547.260767491779
21,Monday,East Village,11.0,19318.31,18973.55013987397
21,Monday,Elmhurst-Maspeth,1.0,1756.21,2029.5833912510611
21,Monday,Flatbush,1.0,1756.21,1878.833122368096
21,Monday,Gramercy,14.0,24586.940000000002,18591.974652340494
21,Monday,Greenpoint,1.0,1756.21,2066.413318497567
21,Monday,Hudson Yards-Chelsea-Flatiron-Union Square,22.2,38987.862,32909.90481490506
21,Monday,Hunters Point-Sunnyside-West Maspeth,2.0,3512.42,3206.4233340935
21,Monday,Lenox Hill-Roosevelt Island,9.083333333333334,15952.240833333335,22379.028406629663
21,Monday,Lincoln Square,15.333333333333334,26928.553333333333,22081.07076017184
21,Monday,Lower East Side,1.0,1756.21,4277.198903809553
21,Monday,Manhattanville,1.0,1756.21,1956.5006519215497
21,Monday,Midtown-Midtown South,20.816666666666666,36558.43816666667,43724.75276788545
21,Monday,Morningside Heights,7.0,12293.470000000001,8522.240706637547
21,Monday,Murray Hill-Kips Bay,9.0,15805.89,22058.497455205703
21,Monday,North Side-South Side,3.0,5268.63,4026.277680617016
21,Monday,Queensbridge-Ravenswood-Long Island City,1.0,1756.21,2303.895587680545
21,Monday,SoHo-TriBeCa-Civic Center-Little Italy,13.0,22830.73,25068.40964140003
21,Monday,Stuyvesant Town-Cooper Village,2.0,3512.42,4063.545750143712
21,Monday,Turtle Bay-East Midtown,13.416666666666666,23562.484166666665,28223.48679589629
21,Monday,Upper East Side-Carnegie Hill,20.666666666666668,36295.00666666667,27777.94649360589
21,Monday,Upper West Side,12.0,21074.52,24271.323934025968
21,Monday,West Concourse,1.0,1756.21,1950.712505975976
21,Monday,West Village,11.0,19318.31,28609.202509095358
21,Monday,Yorkville,10.0,17562.1,18354.283902895724
21,Monday,park-cemetery-etc-Manhattan,5.0,8781.05,10573.726425711924
21,Monday,park-cemetery-etc-Queens,1.0,1756.21,1776.7712539754707
21,Saturday,Airport,12.333333333333334,21659.923333333336,21580.20931191126
21,Saturday,Astoria,1.0,1756.21,3065.7455006002187
21,Saturday,Bath Beach,1.0,1756.21,2030.8963227419877
21,Saturday,Battery Park City-Lower Manhattan,10.0,17562.1,20057.861870215813
21,Saturday,Brooklyn Heights-Cobble Hill,3.0,5268.63,3269.9940202179155
21,Saturday,Central Harlem South,3.0,5268.63,4262.156562905213
21,Saturday,Chinatown,15.0,26343.15,17279.383807195296
