week_number,day_of_week_name,pickup_neighborhood,demand,est_real_demand,predicted_demand
1,Saturday,Queensbridge-Ravenswood-Long Island City,1.0,1756.21,3487.1427931303037
1,Saturday,SoHo-TriBeCa-Civic Center-Little Italy,14.75,25904.0975,26782.163337698246
1,Saturday,Steinway,1.0,1756.21,2909.7408817311407
1,Saturday,Stuyvesant Heights,1.0,1756.21,2253.1458188099737
1,Saturday,Turtle Bay-East Midtown,16.166666666666668,28392.06166666667,29005.28733783624
1,Saturday,Upper East Side-Carnegie Hill,18.833333333333332,33075.28833333333,27567.864008677505
1,Saturday,Upper West Side,11.5,20196.415,25383.324937098863
1,Saturday,West Village,14.285714285714286,25088.714285714286,28448.153292444247
1,Saturday,Yorkville,12.0,21074.52,22542.243094368467
1,Saturday,park-cemetery-etc-Manhattan,10.0,17562.1,12679.349435604248
1,Sunday,Airport,13.0,22830.73,21285.76634071929
1,Sunday,Battery Park City-Lower Manhattan,7.0,12293.470000000001,14706.9631757864
1,Sunday,Briarwood-Jamaica Hills,1.0,1756.21,1518.1899693084854
1,Sunday,Brooklyn Heights-Cobble Hill,1.0,1756.21,2821.5072967651427
1,Sunday,Bushwick South,1.0,1756.21,1518.294670260408
1,Sunday,Chinatown,10.0,17562.1,14587.579207235463
1,Sunday,Clinton,12.0,21074.52,23663.808781235617
1,Sunday,Co-op City,1.0,1756.21,1653.2051078083907
1,Sunday,East Harlem North,3.0,5268.63,3012.7177452221827
1,Sunday,East Village,10.333333333333334,18147.503333333334,23288.564214985025
1,Sunday,East Williamsburg,1.0,1756.21,1685.6818465758636
1,Sunday,Erasmus,1.0,1756.21,1650.385635573293
1,Sunday,Gramercy,6.0,10537.26,16554.80081881008
1,Sunday,Hudson Yards-Chelsea-Flatiron-Union Square,14.833333333333334,26050.448333333334,30488.727511271325
1,Sunday,Lenox Hill-Roosevelt Island,15.0,26343.15,21859.453795562946
1,Sunday,Lincoln Square,11.0,19318.31,19306.50197347906
1,Sunday,Lower East Side,2.0,3512.42,5459.344883505091
1,Sunday,Maspeth,1.0,1756.21,1604.28113684121
1,Sunday,Midtown-Midtown South,22.883333333333333,40187.93883333333,37171.231348798494
1,Sunday,Morningside Heights,2.0,3512.42,7028.629506459289
1,Sunday,Murray Hill-Kips Bay,7.0,12293.470000000001,23058.76757522243
1,Sunday,North Side-South Side,2.0,3512.42,5394.424090014171
1,Sunday,Park Slope-Gowanus,1.0,1756.21,1979.2308442859696
1,Sunday,SoHo-TriBeCa-Civic Center-Little Italy,14.0,24586.940000000002,25188.835112822053
1,Sunday,Steinway,1.0,1756.21,1668.533279328215
1,Sunday,Turtle Bay-East Midtown,14.0,24586.940000000002,25726.966539918096
1,Sunday,Upper East Side-Carnegie Hill,18.0,31611.78,24203.7996750862
1,Sunday,Upper West Side,9.0,15805.89,22739.129955531705
1,Sunday,West Village,12.0,21074.52,26169.659403629543
1,Sunday,Woodside,1.0,1756.21,1503.473089792159
1,Sunday,Yorkville,6.0,10537.26,19157.35586828092
1,Sunday,park-cemetery-etc-Manhattan,6.0,10537.26,10413.015518079092
1,Thursday,Airport,15.5,27221.255,22288.424054516858
1,Thursday,Bath Beach,1.0,1756.21,1957.2122410890024
1,Thursday,Battery Park City-Lower Manhattan,14.0,24586.940000000002,17257.835277090544
1,Thursday,Bedford,1.0,1756.21,1864.0201171323563
1,Thursday,Carroll Gardens-Columbia Street-Red Hook,1.0,1756.21,2155.275611630056
1,Thursday,Central Harlem North-Polo Grounds,2.0,3512.42,1940.2755773074955
1,Thursday,Central Harlem South,3.0,5268.63,3008.39180139873
1,Thursday,Chinatown,7.0,12293.470000000001,12825.995512648453
1,Thursday,Clinton,14.0,24586.940000000002,24008.66541218093
1,Thursday,Crown Heights North,1.0,1756.21,1799.0349275023268
1,Thursday,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2.0,3512.42,2672.6143118163213
1,Thursday,East Harlem North,2.0,3512.42,3318.885303932876
1,Thursday,East Harlem South,2.0,3512.42,6322.398603199532
1,Thursday,East Village,11.75,20635.4675,21180.283052366533
1,Thursday,Fort Greene,1.0,1756.21,2010.9492550984703
1,Thursday,Gramercy,10.5,18440.205,17224.412089783313
1,Thursday,Hamilton Heights,1.0,1756.21,1713.0947992628664
1,Thursday,Hudson Yards-Chelsea-Flatiron-Union Square,20.333333333333332,35709.60333333333,33294.99099621585
1,Thursday,Hunters Point-Sunnyside-West Maspeth,2.0,3512.42,4023.115244774907
1,Thursday,Hunts Point,1.0,1756.21,1860.579728703976
1,Thursday,Jackson Heights,1.0,1756.21,2163.556523685084
1,Thursday,Lenox Hill-Roosevelt Island,13.0,22830.73,23256.06645875606
1,Thursday,Lincoln Square,13.0,22830.73,21414.784577127124
1,Thursday,Lower East Side,3.0,5268.63,4680.856901356561
1,Thursday,Midtown-Midtown South,14.683333333333334,25787.016833333335,40226.706278785656
1,Thursday,Morningside Heights,4.0,7024.84,8155.567429010101
1,Thursday,Mott Haven-Port Morris,1.0,1756.21,2233.782712735458
1,Thursday,Murray Hill-Kips Bay,16.333333333333332,28684.763333333332,26415.88529537601
1,Thursday,North Side-South Side,1.0,1756.21,3949.488591742673
1,Thursday,Park Slope-Gowanus,1.0,1756.21,1878.5339012689728
1,Thursday,Prospect Heights,1.0,1756.21,1667.1251367972775
1,Thursday,Rego Park,1.0,1756.21,1807.5419672393152
1,Thursday,Ridgewood,1.0,1756.21,1998.972029248132
1,Thursday,SoHo-TriBeCa-Civic Center-Little Italy,18.666666666666668,32782.58666666667,26520.919351928533
1,Thursday,Steinway,1.0,1756.21,1970.5476620574295
