week_number,day_of_week_name,pickup_neighborhood,demand,est_real_demand,drivers_needed,drivers_needed_pred
1,Saturday,Morningside Heights,7.0,12293.470000000001,1128,809.7521390056476
1,Saturday,Mott Haven-Port Morris,3.0,5268.63,483,298.4330376183822
1,Saturday,Murray Hill-Kips Bay,18.166666666666668,31904.48166666667,2927,2398.694768850299
1,Saturday,North Side-South Side,5.0,8781.05,806,620.9329485567996
1,Saturday,Old Astoria,1.0,1756.21,161,243.1694232828528
1,Saturday,Prospect Heights,1.0,1756.21,161,220.04677444573912
1,Saturday,Queensbridge-Ravenswood-Long Island City,1.0,1756.21,161,310.56247045388994
1,Saturday,SoHo-TriBeCa-Civic Center-Little Italy,14.75,25904.0975,2377,2445.4726615792283
1,Saturday,Steinway,1.0,1756.21,161,264.1306948794885
1,Saturday,Stuyvesant Heights,1.0,1756.21,161,201.20963540556235
1,Saturday,Turtle Bay-East Midtown,16.166666666666668,28392.06166666667,2605,2651.0299606945628
1,Saturday,Upper East Side-Carnegie Hill,18.833333333333332,33075.28833333333,3034,2516.730810067837
1,Saturday,Upper West Side,11.5,20196.415,1853,2336.8769923374853
1,Saturday,West Village,14.285714285714286,25088.714285714286,2302,2605.802563240988
1,Saturday,Yorkville,12.0,21074.52,1933,2053.991758027168
1,Saturday,park-cemetery-etc-Manhattan,10.0,17562.1,1611,1147.5212270631164
1,Sunday,Airport,13.0,22830.73,2095,1965.4580012785889
1,Sunday,Battery Park City-Lower Manhattan,7.0,12293.470000000001,1128,1338.6434159289463
1,Sunday,Briarwood-Jamaica Hills,1.0,1756.21,161,143.66377991792376
1,Sunday,Brooklyn Heights-Cobble Hill,1.0,1756.21,161,248.9450111803312
1,Sunday,Bushwick South,1.0,1756.21,161,136.8579140386012
1,Sunday,Chinatown,10.0,17562.1,1611,1337.9607525841907
1,Sunday,Clinton,12.0,21074.52,1933,2188.963949459933
1,Sunday,Co-op City,1.0,1756.21,161,158.0619798098061
1,Sunday,East Harlem North,3.0,5268.63,483,266.9499878963944
1,Sunday,East Village,10.333333333333334,18147.503333333334,1665,2146.6206668805103
1,Sunday,East Williamsburg,1.0,1756.21,161,150.8095207192541
